114,32968.0714285714,12290.1071428571,43375.5,4473,46350.0625,3252.75,46371.75,2117.375
116,33179,12720.6785714286,43507.9375,4510.9375,46458.25,3324.0625,46625,2146.125
118,33265.6428571429,12605.75,43837.8125,4338.625,46671.9375,3265.3125,46676.375,2076.625
120,33234.1428571429,12719.0714285714,43911.625,4352.0625,46771,3204.875,46807.1875,2028.1875
0,3542.39285714286,2608.35714285714,4718.25,882.6875,4829.75,427.5625,6094.1875,379.8125
2,3688.17857142857,2783.85714285714,4816.25,923.25,4901.9375,433.75,6269.9375,389.6875
4,3877.67857142857,2880.25,5002,950.3125,5087.5625,453.625,6458.3125,423.125
6,4086.82142857143,3051.71428571429,5274.0625,1012.375,5379.5625,473.4375,6685.4375,444.6875
8,4240.78571428572,3130.42857142857,5429.9375,1037.75,5631.9375,493.5,6970.9375,465.4375
10,4442.60714285714,3253.10714285714,5762.625,1114.25,5835.5625,504.125,7211.8125,484.3125
12,4617.21428571429,3311.75,5858.125,1128.6875,6033.8125,510.375,7434.25,499.625
14,4737.67857142857,3441.5,6118.4375,1151.25,6201.3125,530.375,7704.5625,506.8125
16,4859.71428571429,3495.53571428571,6209.375,1179.9375,6378.1875,544.75,7861.5,498.75
18,4967.35714285714,3577.96428571429,6344.6875,1226.0625,6534.9375,568.0625,7999.25,530.3125
20,5087.89285714286,3650.10714285714,6486.125,1222.375,6660.125,571.75,8077.6875,527.6875
22,5136.82142857143,3749,6612.4375,1265.625,6760.125,585.375,8232.75,535.75
24,5207.89285714286,3840.67857142857,6692.5625,1266.5,6864.75,595.25,8340.875,532.9375
26,5231.57142857143,3958.10714285714,6781.9375,1270.125,6975.5625,606.8125,8488.625,537.4375
28,5323.67857142857,4049.07142857143,6887.125,1280,7119.8125,601.5,8583.375,549.125
30,5426.67857142857,4148,6984.5,1295.4375,7165.875,609.625,8751.75,552.75
32,5508.64285714286,4232.46428571429,6996.375,1307.0625,7230.625,619.625,8832.8125,563.625
34,5599.75,4321.53571428572,7011.6875,1318,7313.4375,638.375,8884.375,583.4375
36,5710.42857142857,4404.5,7143.25,1320.6875,7361.25,640.3125,8930.375,595.9375
38,5748.53571428571,4433.82142857143,7204.3125,1309.75,7382.125,665.5,9008.5625,623
40,5833.03571428572,4533.75,7315.4375,1360.25,7443.3125,685.3125,9084.3125,634.8125
42,5830.39285714286,4678.5,7523.5,1391.8125,7618.125,707.875,9308.8125,649.25
44,6024.64285714286,4803.14285714286,7790.25,1428.6875,7994.8125,724.875,9712.5,671.875
46,6039.42857142857,4871.57142857143,7785.75,1465.75,7877.6875,762.75,9611.625,675.375
48,6036.89285714286,4942.10714285714,7641.4375,1479.1875,7843.4375,763.6875,9584.5,726.75
50,6113.60714285714,5104.78571428572,7780.3125,1493.6875,7905.5,770.9375,9650.25,758.375
52,6151.21428571429,5183.57142857143,7846.1875,1545.125,7936.0625,800.6875,9657.5,780.9375
54,6149.67857142857,5302.17857142857,7697.5625,1627,7806.375,804.125,9691.8125,775.5625
56,6109.46428571429,5334.07142857143,7543.375,1618,7722.625,806.125,9574.5625,774.625
58,6181.53571428571,5450.42857142857,7545.1875,1674.6875,7784.9375,825.8125,9674.625,809.6875
60,6146.10714285714,5531.21428571429,7492,1677.5625,7824.4375,848.3125,9674.5625,844
62,6087.92857142857,5618.75,7456.8125,1696.375,7661.4375,859.125,9531.25,854.875
64,6018.39285714286,5664.53571428572,7405.4375,1711,7664.0625,887.125,9508.8125,869.1875
66,6039.5,5761.75,7331.4375,1728.8125,7622.5625,893.4375,9435.8125,927.75
68,6014.32142857143,5885.53571428572,7364.0625,1795.5,7608.1875,896.25,9535.8125,943.125
70,5993.64285714286,5925.21428571429,7326.9375,1781.0625,7593.8125,909.625,9459.3125,940.375
72,5917.92857142857,5965.85714285714,7181.875,1762.25,7436,905.125,9300.5,1003.5625
74,5883.5,6090.60714285714,7226.1875,1854.25,7390.25,929.5,9287.875,1034
76,5785.64285714286,6182.75,7141.375,1885.75,7437.875,956.5625,9233.9375,1048.5
78,5777.85714285714,6229.53571428571,6990.875,1857.6875,7348.75,959.3125,9080.8125,1066.5625
80,5629.60714285714,6183.10714285714,6881,1828.875,7205.375,960.1875,8963.625,1105.3125
82,5590.42857142857,6303.21428571429,6910.6875,1872.1875,7191.8125,966.5,8973.5,1116.125
